Date,Open,High,Low,Close,Adj Close,Volume,commodity,year,month,day
2014-05-15,19.514999,19.514999,19.445,19.447001,19.447001,110.0,2,2014,5,15
2014-05-16,19.455,19.455,19.292,19.292,19.292,79.0,2,2014,5,16
2014-05-18,19.455,19.455,19.292,19.322001,19.322001,79.0,2,2014,5,18
2014-05-19,19.555,19.555,19.322001,19.322001,19.322001,283.0,2,2014,5,19
2014-05-20,19.280001000000002,19.42,19.27,19.367001000000002,19.367001000000002,17.0,2,2014,5,20
2014-05-21,19.295,19.306998999999998,19.295,19.306998999999998,19.306998999999998,4.0,2,2014,5,21
2014-05-22,19.700001,19.745001000000002,19.49,19.49,19.49,21.0,2,2014,5,22
2014-05-23,19.370001000000002,19.387999999999998,19.370001000000002,19.387999999999998,19.387999999999998,11.0,2,2014,5,23
2014-05-25,19.370001000000002,19.387999999999998,19.370001000000002,19.039,19.039,11.0,2,2014,5,25
2014-05-27,19.35,19.35,19.039,19.039,19.039,55.0,2,2014,5,27
2014-05-28,19.035,19.035,19.035,19.035,19.035,71.0,2,2014,5,28
2014-05-29,18.940001000000002,19.004998999999998,18.844998999999998,18.983,18.983,196.0,2,2014,5,29
2014-05-30,18.950001,18.959999,18.605,18.653,18.653,40.0,2,2014,5,30
2014-01-06,18.950001,18.959999,18.605,18.709,18.709,40.0,2,2014,1,6
2014-02-06,18.75,18.809998999999998,18.674999,18.709,18.709,33.0,2,2014,2,6
2014-03-06,18.790001,18.809998999999998,18.732,18.732,18.732,18.0,2,2014,3,6
2014-04-06,18.766001,18.766001,18.766001,18.766001,18.766001,0.0,2,2014,4,6
2014-05-06,18.9,19.055,18.9,19.055,19.055,31.0,2,2014,5,6
2014-06-06,18.955,18.962999,18.955,18.962999,18.962999,1.0,2,2014,6,6
2014-08-06,18.955,18.962999,18.955,19.045,19.045,1.0,2,2014,8,6
2014-09-06,19.045,19.049999,19.045,19.045,19.045,3.0,2,2014,9,6
2014-10-06,19.146998999999997,19.146998999999997,19.146998999999997,19.146998999999997,19.146998999999997,0.0,2,2014,10,6
2014-11-06,19.153999,19.153999,19.153999,19.153999,19.153999,0.0,2,2014,11,6
2014-12-06,19.514999,19.514999,19.514999,19.514999,19.514999,0.0,2,2014,12,6
2014-06-13,19.535,19.636999,19.535,19.636999,19.636999,2.0,2,2014,6,13
2014-06-15,19.535,19.636999,19.535,19.702,19.702,2.0,2,2014,6,15
2014-06-16,19.754998999999998,19.795,19.67,19.702,19.702,14.0,2,2014,6,16
2014-06-17,19.721001,19.721001,19.721001,19.721001,19.721001,0.0,2,2014,6,17
2014-06-18,19.75,19.85,19.75,19.767,19.767,5.0,2,2014,6,18
2014-06-19,20.02,20.636999,20.02,20.636999,20.636999,4.0,2,2014,6,19
2014-06-20,20.950001,20.950001,20.860001,20.941999,20.941999,2.0,2,2014,6,20
2014-06-22,20.950001,20.950001,20.860001,20.909000000000002,20.909000000000002,2.0,2,2014,6,22
2014-06-23,20.909000000000002,20.909000000000002,20.909000000000002,20.909000000000002,20.909000000000002,0.0,2,2014,6,23
2014-06-24,21.038,21.038,21.038,21.038,21.038,0.0,2,2014,6,24
2014-06-25,21.111,21.111,21.111,21.111,21.111,0.0,2,2014,6,25
2014-06-26,21.103001000000003,21.103001000000003,21.103001000000003,21.103001000000003,21.103001000000003,56351.0,2,2014,6,26
2014-06-27,21.105,21.205,20.9,21.076999999999998,21.076999999999998,17332.0,2,2014,6,27
2014-06-29,21.105,21.205,20.9,21.006999999999998,21.006999999999998,17332.0,2,2014,6,29
2014-06-30,20.959999,21.115,20.764999,21.006999999999998,21.006999999999998,2611.0,2,2014,6,30
2014-01-07,21.01,21.209999,21.01,21.066999,21.066999,168.0,2,2014,1,7
2014-02-07,21.045,21.254,20.98,21.254,21.254,231.0,2,2014,2,7
2014-03-07,21.045,21.254,20.98,20.965999999999998,20.965999999999998,231.0,2,2014,3,7
2014-06-07,21.045,21.254,20.98,20.965999999999998,20.965999999999998,231.0,2,2014,6,7
2014-07-07,21.09,21.09,20.82,20.965999999999998,20.965999999999998,87.0,2,2014,7,7
2014-08-07,21.059998999999998,21.15,20.934998999999998,20.966998999999998,20.966998999999998,208.0,2,2014,8,7
2014-09-07,21.125,21.200001,21.021998999999997,21.021998999999997,21.021998999999997,63.0,2,2014,9,7
2014-10-07,21.094998999999998,21.525,21.094998999999998,21.459,21.459,136.0,2,2014,10,7
2014-11-07,21.475,21.5,21.410999,21.410999,21.410999,61.0,2,2014,11,7
